GeneID	RNA.seq_LADC55
PINK1-AS	1028
DDOST	6412
KIF17	79
SH2D5	1
112268222	1382
HP1BP3	5042
EIF4G3	2138
LOC105376830	3
LOC105376829	4
ECE1	3794
ECE1-AS1	6
NBPF3	422
ALPL	3981
LINC02596	1
RAP1GAP	845
USP48	2511
LDLRAD2	926
HSPG2	6797
LINC01635	20
LINC00339	395
CDC42-AS1	12
CDC42	13714
WNT4	362
LOC105376845	18
LOC105376850	0
LOC107985377	37
ZBTB40	791
EPHA8	1
C1QA	5454
C1QC	8626
C1QB	8570
EPHB2	646
MIR4253	24
KDM1A	1942
LUZP1	1109
HTR1D	65
LINC01355	185
HNRNPR	4945
ZNF436	616
ZNF436-AS1	84
TCEA3	2174
ASAP3	734
E2F2	113
LOC101928163	3
LOC105376859	3
ID3	762
MDS2	16
RPL11	11164
ELOA	2451
ELOA-AS1	348
PITHD1	860
LOC105376860	305
LYPLA2	1752
GALE	1746
HMGCL	1525
LOC105376861	7
FUCA1	4840
CNR2	5
PNRC2	5317
SRSF10	4535
LOC105376863	16
LOC107984931	2
MYOM3	10
IL22RA1	34
IFNLR1	289
LINC02800	2
GRHL3-AS1	8
GRHL3	119
STPG1	314
NIPAL3	1300
RCAN3AS	3
RCAN3	1122
NCMAP-DT	106
NCMAP	666
SRRM1	3261
CLIC4	8090
RUNX3	234
107984932	1
RUNX3-AS1	21
SYF2	1780
RSRP1	2810
LOC105376882	0
RHD	29
TMEM50A	3249
RHCE	2152
MACO1	1438
LDLRAP1	1087
MAN1C1	259
SELENON	5982
MTFR1L	765
LOC646471	195
AUNIP	243
PAQR7	424
STMN1	4418
MIR3917	431
PAFAH2	1039
101928216	13
EXTL1	21
SLC30A2	13
TRIM63	19
PDIK1L	1467
FAM110D	37
ZNF593	419
CNKSR1	879
CATSPER4	0
ZPLD2P	1
CEP85	688
SH3BGRL3	2843
UBXN11	934
CD52	401
CRYBG2	30
ZNF683	11
DHDDS	1136
DHDDS-AS1	15
HMGN2	12437
RPS6KA1	2112
LOC101928728	31
ARID1A	3480
PIGV	590
ZDHHC18	1361
SFN	2196
GPN2	801
GPATCH3	242
NUDC	2088
NR0B2	5
KDF1	488
TRNP1	288
TENT5B	77
