GeneID,Intensity.LUAD_phos_09N
RBM47,0
E2F8,0
UBA6,0
ESYT2,579614089
ESYT3,0
MED19,231647644
UHRF1BP1L,230668044
KIAA1598,0
LNP1,111765372
ARHGAP10,0
CCDC64B,228842744
MEX3A,0
C1orf226,113725372
PLEKHG3,0
SH3PXD2B,0
FRMD3,0
CXorf23,0
NBAS,123121972
TESPA1,0
KIAA1467,0
DENND3,0
SBNO1,0
KLRG2,0
RAB19;RAB43,0
SH3D21,0
XIRP2,0
POTEF;POTEI;POTEJ;ACTB;ACTG1;POTEE;POTEKP,114985972
POTEF;POTEI;ACTB;ACTA2;ACTG2;ACTG1;ACTC1;ACTA1;POTEE,0
POTEF;ACTB;ACTA2;ACTG2;ACTG1;ACTC1;ACTA1;ACTBL2;POTEE;POTEKP,237605344
CCDC151,0
CNOT1,0
ARHGEF35,0
ARHGEF35;ARHGEF5,0
BDP1,0
CCDC88B,0
FAM83G,0
PALM3,480060589
SOWAHB,0
ZNF316,275570944
TLCD2,0
CCDC69,0
WTIP,0
PCNXL2,0
CCDC85C,111253872
PCP4L1,0
TRIM64C,0
BTBD11,0
ZSWIM8,0
ARHGAP32,112085272
DISP2,0
TBKBP1,0
POM121C,0
POM121C;POM121B;POM121,0
POM121C;POM121,0
EFCAB7,0
NEURL1B,0
NCF1C;NCF1;NCF1B,0
FAM171A2,0
WASH4P;WASH1;WASH3P;WASH2P,0
WASH4P;WASH1;WASH3P;WASH2P;WASH6P,0
COL6A5,0
MYO1G,0
MYO9A,0
SMIM1,123612972
TMEM229A,0
PPP1R3G,0
TMEM238,0
FAM195B,0
NACA,137549972
CNKSR3,0
CNKSR3;IPCEF1,116564372
AGPS,113603072
KIF2A,0
DDX39A;DDX39B,0
PDLIM1,0
MYO1C,123067972
SNAP23,222334744
FXYD1,0
GTPBP1,0
STXBP3,0
ARVCF,124283972
SMAP,150411972
RAB27B;RAB27A,0
AP3B1,290475184
SULT2B1,0
NFKBIE,0
PSMD11,111795172
MEN1,115075972
CBX4,0
SUPT5H,0
DFFA,0
RFXAP,0
HIP1,0
CLIC1,0
EIF3F,0
WWP2,117222272
ARNTL,0
PIK3CD,0
PDHX,0
QSOX1,0
FOXN3,0
IPO5,0
EEF2K,340419217
EML1,224450714
DNM1L,112402272
PIK3C2A,0
LST1,0
GOLIM4,113342472
MEIS1,119342072
ELL2,0
BTN3A1,111147872
BIN1,371190817
CLDN5,0
KPNA3,245448644
STK25;STK26;STK24,117970972
BCL9,235809344
LAD1,0
EBAG9,246144972
SDCBP,112435872
PITPNM1,0
MPHOSPH10,342325317
NOP56,119922972
PEX12,0
KPNA4,0
NFIB,0
ACACB,0
SCD,0
PPAP2A,0
PPAP2B,0
ARID1A,245643344
BHLHE40,0
C2CD2L,0
FCHO1,0
TRAFD1,127742972
HSPB6,138029972
CIT,0
COPE,118167072
CDC42EP2,0
AP3D1,118885472
ENPP3,0
ABLIM1,1417651524
DVL1,0
DVL1;DVL1P1,0
CHD1,0
CHD2,243087944
STX16,0
EI24,124428972
TP53I11,372135944
KMT2D,683942534
RGPD8;RGPD5,0
RGPD8;RGPD5;RGPD1;RGPD2,0
RGPD8;RGPD5;RGPD1;RGPD2;RANBP2;RGPD4;RGPD3,113385972
RGPD8;RGPD5;RANBP2;RGPD4;RGPD3,112826072
PDCD5,0
SLC9A3R1,422124817
NRP1,0
TNPO2,0
APOL1,495805917
UNC13B,225741544
RASGRF2,112463572
SCAMP3,148035972
BACH1,110921572
BCKDK,130138972
IRF6,0
GIPC1,0
IKBKB,0
RGS12,114800972
CASK,0
PPP1R12A,123019972
GAK,117530672
ZNF263,112952772
HNRNPDL,0
XPO1,0
ARHGEF10,598713282
ZNF609,0
ZNF646,0
PDZD2,235654244
SPTBN2,0
MAST4,116403772
SEC16A,352977117
PLXNB2,0
AREL1,0
KHNYN,0
U2SURP,0
SETD1A,241636944
SYNJ2,0
SYNM,0
KIAA0355,0
MCF2L,116592572
DCLK1,0
ARHGEF11,579981662
FYB,0
TBX3,232844744
SCAMP2,306724972
ARPC1B,0
BET1,110491332
TRIM24,112788472
PGRMC2,512772289
CTDSPL,0
SMAD9;SMAD1,0
RGL2,0
NKRF,0
ZNF185,369110917
CASC3,113006972
RER1,111568372
ATXN7,0
MID1,111882472
MID1;MID2,0
INPPL1,111506472
SLC16A4,0
HDAC3,0
SIGLEC5,0
STX7,222242544
TOX3,0
FOXP2,0
TNRC18,113268272
SLC16A3,110706822
SLC31A2,0
ABCC3,0
ABCC4,117180972
ABCC5,0
CD3EAP,0
MSH4,0
PER1,0
RNF113A,0
KDM6A,0
CLDN3,0
FFAR2,0
ZZEF1,0
ASAP2,129234972
RRP8,0
PJA2,0
SIPA1L1,111777072
ARHGAP6,112253872
PHF1,0
GPR39,0
SEPTIN4,298039244
DYNC1LI2,112985072
PSMD3,0
SART1,191252972
SPINT2,0
HSPA12A,0
CCP110,0
ADCY6,0
CTIF,124478972
PPIP5K2,111932772
MAP3K7,114279672
RIPK2,0
RASA4;RASA4B,0
WDR62,0
PRPF3,166376972
TXNL1,0
TPD52L2,236400544
SYNJ1,0
EIF4G3,115113672
CBFA2T2,0
AKR7A2,0
EPB41L2,944563879
TGOLN2,261050274
WIPF1,0
ATP8B1,0
FOXO3,0
SMAD6,0
SGCE,0
LAT,0
RGS14,120307972
RNF13,0
AKAP10,0
SYT7,0
DENR,0
SPRY2,111868572
DNPH1,0
CHMP2A,0
RGS10,0
BUB3,0
AKAP7,0
ACTN4,0
ACTN4;ACTN1,0
ACTN4;ACTN1;ACTN3;ACTN2,0
PRKAB2,406871517
STX6,113491572
SYNGR2,0
SGTA,121940972
ENSA,0
ENSA;ARPP19,0
STRN,121209972
RRP9,0
C21orf2,0
AKAP8,0
ZBTB14,0
NRD1,0
CALU,0
AHCYL1,0
KIF1C,253215944
TYROBP,0
FIGF,0
PEX1,0
RAD21,0
TIMM8A,0
KALRN,0
DHX16,114227272
SSSCA1,0
PPP1R12B,0
BNIP3L,515327389
SH3BP5,0
PLIN1,0
BAI3,0
MED14,111333572
PCDH7,0
PRPSAP2,261284972
SMARCA5,118900072
GPRIN2,0
SPAG9,548894117
SUSD5,0
MGRN1,0
SIPA1L3,0
ZFC3H1,0
TRAK2,0
LZTS3,0
KIAA0556,0
AQR,0
MAST3,113808572
ATP10A,0
ZEB2,114395672
MCM3AP,0
KIF1B,227625044
KDM1A,0
TBC1D4,0
FZD6,0
HBP1,0
PPL,449239217
EVI5,112496872
LY75,0
PLXNC1,150510972
MPZL2,0
ACSL4,0
SNX3,0
DOK2,0
STX10,110840072
MGEA5,0
ADCY9,224246744
SORBS3,547138389
EIF4EBP3,0
NEMF,0
GMDS,0
NMT2,0
GREM1,0
EIF4E2,0
CCNT2,0
SELENOF,0
PDE8A,0
PDE8A;PDE8B,0
PLIN3,0
SLC16A7,110228292
MAFK,0
PRMT3,0
KPNA6,0
UGDH,0
LPXN,114277872
SNX2,238838944
DPM1,151671972
USO1,176855972
TOM1,0
PFKFB2,0
EIF5B,372871917
GAS7,115706872
BRD4,233404044
OPHN1,0
PPP1R11,0
RNASEH1,0
NBN,0
NOL3,0
DTNB,0
LILRB3,111775472
LILRB5,0
MITF,0
SRGAP2,0
SRGAP2;SRGAP2B;SRGAP2C,112319372
NOS1AP,0
IGSF3,0
DENND4B,0
TMCC2,114629572
CBFA2T3,0
LRP4,0
LDB3,0
N4BP1,119805972
ROCK2,114705772
CLASP2,222681664
COBL,111194772
CPNE3,155788972
ZBED4,0
DEPDC5,111072872
ATG13,112062872
OBSL1,0
PHF2,124363972
PHF2;PHF8,0
ZC3H11A,0
RAB11FIP3,0
SOCS5,0
NPHP4,0
PHACTR2,355817517
PPP6R2,113923072
CNOT3,0
ANKRD17,343883817
SIN3B,110274192
DNAJB6,0
SNN,0
VPS4B,0
VPS4B;VPS4A,0
ENTPD3,0
ZNF217,0
H2AFY,273920944
FLNB,244113944
NCOR1,338635217
VAMP4,204694972
PEX14,0
TRIM3,122973972
ULK1,0
SLC43A1,0
SEC22B,427816944
DEAF1,0
PRPF40A,229924044
TACC1,113646472
GIGYF1,0
LRCH4,0
SAP30,0
MED24,125223972
KATNA1,0
ERN1,0
PSIP1,689107089
SRSF10,295215944
CLDN11,113177172
TNFRSF21,0
TADA3,0
SF3B1,111817872
WBP4,109979212
SKAP2,110208732
PRKRA,173085972
RPS6KA5,111804672
MYCBP2,578755262
NPM3,0
PRDM1,0
REM1,0
SNRNP200,226784972
OFD1,0
TOM1L1,0
RPS6KA4,0
SURF6,0
UTP20,125161972
NUP155,132747972
TCEA3,0
PALM,0
GRAP2,121337972
CAPN15,0
BCAR3,0
EIF3G,0
EIF3J,0
PPP1R37,0
DGAT1,0
CCNK,124265972
DYSF,0
PIAS1,119565872
FLOT1,0
TRIO,114134872
MPDZ,0
CPD,0
SASH3,113310572
GLRX3,0
RSL1D1,132863972
WFS1,135662972
NEBL,230672744
RNF8,0
PDE5A,116203572
ZFAND5,0
SRP72,0
RECQL5,0
URI1,0
STK17B,0
ECM2,0
MTA2,0
USP1,0
STK10,267858944
PRKD3,245924344
PRKD3;PRKD1,118543072
GFPT2,0
TPPP,334888944
KBTBD11,243847144
ATP10B,0
TOMM70A,313064972
MYO1D,0
TOX4,0
MICAL2,0
KIAA0754,231629144
SUPT7L,116626972
FCHSD2,0
UFL1,115881772
SORBS2,626440462
TMCC1,114789472
PHF14,114236372
SASH1,590885362
TMEM63A,122980972
FARP2,0
UBXN7,0
SUN1,0
PROSC,118173972
PRPF6,0
PCF11,0
FRYL,121215972
CDK14,111455272
GLCE,0
ABLIM3,827575206
KDM4B,0
KDM4B;KDM4E;KDM4C,357937117
SLCO2B1,115894272
WDR47,0
TRIM37,0
SEC31A,739077889
CEP152,0
FAM13A,0
ARHGEF15,0
TJP3,478087089
YIF1A,0
UBR5,138439972
FSBP,0
SCAF4,0
UBE4B,0
SCEL,381362517
VAMP5,115506372
RTN3,0
ZNF205,0
EPN2,254365244
STBD1,0
ZRANB2,400477617
LUC7L3,0
KIF20A,0
MBD4,0
SBF1,0
KAT7,241963444
ABCC6,0
PDE8B,0
KCNK5,0
VAPB,244054944
SNAPIN,0
MPZL1,226752344
PGLS,113134272
TACC2,454508689
TRIM16,112548272
ZBTB7A,255141944
MAP3K6,113714872
SLU7,0
PGM3,0
RAPGEF3,0
CD2BP2,357265834
MED26,0
ZFYVE9,0
SVIL,494431989
BAG4,0
SLC34A2,0
PARN,0
FMNL1,554179944
CLDN7,0
ABCA1,227426344
SEC24B,0
LPHN2,115837372
CBX6,0
NADK,0
SFT2D2,0
ACSL3,0
POLR1A,0
PCNT,234679144
CNOT4,0
NFATC1,0
ASMTL,255518644
CDS2,204538972
FGFR1OP,0
PPP1R3D,0
BRD1,0
POP4,0
HERC2,114412672
HERC2;HERC2P3,0
OXSR1,233363314
PTBP3,0
STARD3NL,352986717
WIZ,0
DDX58,0
STAU1,0
TMEM50A,0
BAG2,110733942
BAG3,366567017
MAP4K4,112095472
AIFM1,115101372
LATS1,0
TSPAN13,113100672
ABHD16A,0
C6orf47,0
EOMES,0
S1PR4,0
BCL10,0
MOCS2,0
PEX11B,0
PAK4,118178672
CHEK2,0
APBA3,0
LDHA,0
ALDH1A1,0
CYB5R3,110525982
PNP,0
ABL1,112459572
EGFR,251565044
PGK1,117090672
AK1,0
F9,0
PLG,0
CA1,0
CA2,0
SERPINC1,205944972
SERPINA1,0
KNG1,1222694972
FOS,0
MYC;MYCN,0
PIGR,257529544
HLA-B,0
HLA-DRB1;HLA-DRB3,0
HBD,0
HBD;HBB,0
COL1A1,0
SPTA1,0
APOE,112147172
APOA2,113058072
FGB,0
MBP,0
GYPA,0
SLC4A1,455364417
FN1,497924972
AHSG,170823972
TFRC,0
FTH1,111232772
VTN,111785372
HMGCR,0
CAT,116696572
RAF1,0
RAF1;ARAF,190135972
ALDOA,389735117
ANXA1,112819672
APOB,152706972
NR3C1,121105972
TK1,0
CD74,112928172
SEMG1;SEMG2,0
GAPDH,111392972
ERBB2,113567172
TP53,0
SLC4A2,0
GYPC,0
ATP1A1,117499772
ATP1A1;ATP1A3,0
ATP1A1;ATP1A3;ATP4A;ATP1A2,118223372
APP,112820872
HMGN1,251751844
PRKCG;PRKCB,142302972
SLC25A5;SLC25A4;SLC25A6,0
ALPL,0
ALPP;ALPPL2,0
EIF2S1,0
ICAM1,0
RPLP2,0
RPLP0;RPLP0P6,0
JUN,0
JUN;JUND,0
SSB,113331772
PRKCB,0
KRT18,116261272
UROD,0
FYN,117641572
GSN,0
RB1,0
PTMA,118483472
CDK1;CDK3;CDK2,0
ATP5B,0
S100A9,119900972
S100A6,114426572
APOA4,0
ENO1,224848144
ENO1;ENO3;ENO2,0
NPM1,163672972
TPM3,0
TPM3;TPM1,0
EPHX1,111012472
NEFM,0
CENPB,0
P4HB,0
FES,0
CSF1R,0
CTSD,0
ANXA2,0
ANXA2;ANXA2P2,1006087562
GP1BA,0
CAPN1,0
ADRB2,0
BPGM,0
APRT,114034772
EPRS,0
HNRNPC,611442917
UQCRH,0
YES1,122944972
LYN,272064944
SFTPB,0
GJB1,0
SP1,0
ZFY;ZFX,0
ANXA6,110734972
NGFR,0
ABCB1,0
SLC3A2,0
NR3C2,0
HSP90AB1;HSP90AB3P,0
SRPR,0
MME,319341944
PDHA1,115813572
PDHA1;PDHA2,278131944
PTPRC,328074244
MET,0
ADRB1,119771772
SNRNP70,116851072
HCK,0
ITGA5,123568972
NFIC,338425387
RPS17,0
ANXA5,111792672
RPSA,0
IL6R,0
ADRA2A,0
SNRPA,0
HOXD4,0
GSTA2;GSTA1;GSTA3,0
SNRPC,0
LGALS1,0
TPM1,227566244
CLTA,0
ANXA4,114847572
CNP,0
CD7,0
HMOX1,0
CSF1,0
PDGFRB,110143182
HNRNPA1,147196972
HNRNPA1;HNRNPA1L2,0
PARP1,0
ALDOC,0
TFPT,111380372
ATXN1L,114066672
POLR2M;GCOM2,0
SMIM13,259530744
RGPD1;RGPD2,0
RGPD1;RGPD2;RANBP2;RGPD4;RGPD3,0
HSPA1B;HSPA1A,117032172
HSPA1B;HSPA1A;HSPA6;HSPA7,0
PGBD3,0
GLI3,0
ZBTB48,0
GLI4,0
TROVE2,0
RRAS,111423472
ARAF,0
HIST1H1E,0
HIST1H1E;HIST1H1B;HIST1H1D;HIST1H1C;HIST1H1A,0
HIST1H1E;HIST1H1D,132925972
SPP1,0
PTPRF,0
NR2F6,0
NR2F1,0
MAPT,0
PRKAR1A,184887972
KIT,0
HSPD1,0
CLU,231696414
IRF1,0
HSPA5,0
MAP2,259464244
SLC2A1,0
SLC2A3,0
EPB41,722681434
PYGB,0
RALA,0
BCR,0
ERG,0
TOP1,0
TOP2A,0
G6PD,0
ESRRA,0
DMD,112142072
SFTPC,119674972
IGF2R,247061944
SRF,115813872
MS4A1,0
COL6A1,119322472
COL6A3,230594944
TPR,0
ANXA3,114336972
BCKDHA,759108917
SKI,0
ACTN1,0
ACE,0
CDH1,113772372
SRC,120832972
XRCC6,0
UNG,0
NR2C1,0
GP1BB,355034972
RNH1,233139044
CYBA,111507372
SCG2,0
CFTR,0
VCAN,360834044
ITGA4,120120972
CEACAM1,0
HLA-A,1005552490
HLA-E,0
HLA-DRB4,0
LCP1,556200689
PLS3,225598844
APEH,112973272
GYS1,368993117
PRKAR2A,1838637690
CCDC130,0
CD99,120154972
PRKCSH,0
HCLS1,116014072
PKM,0
HSP90B1,111444272
SLC2A4,0
HNRNPL,0
DARS,0
ETS1,0
JUP,130580972
BRAF,134215972
PVR,0
PGAM2;PGAM1;PGAM4,115157172
IFNGR1,0
B4GALT1,0
EZR,225718644
ATF2,0
UCHL3,114111672
FOSL2,0
NME1;NME2;NME2P1,114139272
HIVEP1,0
RPS2,0
TCF4,0
TCF3,0
DSP,111799072
MUC1,0
CD44,407761117
ITGB4,0
SPN,225089644
CBR1,0
CREB1,0
PECAM1,121476972
PPP3CB,0
NCK1,145430972
GCFC2,0
HIST1H1B,258381944
HIST1H1D,122543972
HIST1H1C,479350944
POR,0
EPB42,0
MGMT,0
ATP2A2,141030972
STMN1,134548972
STMN1;STMN2,0
YBX3,0
YBX3;YBX1;YBX2,0
ZNF22,139398972
ZKSCAN1,0
ZSCAN20,0
HMGA1,253477944
TMEM11,0
IFNAR1,0
PRKCA,400763917
JUNB,0
GJA1,0
UBTF,0
JUND,0
ATF7,0
PRKACA,116996172
PRKACA;PRKACG;PRKACB,0
DES,241912944
PTPN2,0
CTPS1,235787644
PFKL,0
IGFBP3,110877772
SPI1,113120872
