GeneID,Intensity.LUAD_phos_04T
RBM47,130842534
E2F8,0
UBA6,0
ESYT2,1762148229
ESYT3,0
MED19,257092368
UHRF1BP1L,262832468
KIAA1598,394443602
LNP1,0
ARHGAP10,0
CCDC64B,269303868
MEX3A,0
C1orf226,258956168
PLEKHG3,397104902
SH3PXD2B,136243234
FRMD3,0
CXorf23,256854968
NBAS,0
TESPA1,0
KIAA1467,0
DENND3,0
SBNO1,0
KLRG2,130113034
RAB19;RAB43,0
SH3D21,0
XIRP2,0
POTEF;POTEI;POTEJ;ACTB;ACTG1;POTEE;POTEKP,128437034
POTEF;POTEI;ACTB;ACTA2;ACTG2;ACTG1;ACTC1;ACTA1;POTEE,128348534
POTEF;ACTB;ACTA2;ACTG2;ACTG1;ACTC1;ACTA1;ACTBL2;POTEE;POTEKP,143427934
CCDC151,0
CNOT1,0
ARHGEF35,0
ARHGEF35;ARHGEF5,0
BDP1,143931934
CCDC88B,130764134
FAM83G,134276134
PALM3,964561538
SOWAHB,257224768
ZNF316,271535868
TLCD2,132290034
CCDC69,128062904
WTIP,0
PCNXL2,0
CCDC85C,128163664
PCP4L1,0
TRIM64C,0
BTBD11,0
ZSWIM8,256869038
ARHGAP32,129032634
DISP2,0
TBKBP1,0
POM121C,259854068
POM121C;POM121B;POM121,0
POM121C;POM121,385445032
EFCAB7,0
NEURL1B,128144264
NCF1C;NCF1;NCF1B,129828434
FAM171A2,127920154
WASH4P;WASH1;WASH3P;WASH2P,130036434
WASH4P;WASH1;WASH3P;WASH2P;WASH6P,0
COL6A5,128987834
MYO1G,261239168
MYO9A,129390034
SMIM1,427470602
TMEM229A,0
PPP1R3G,0
TMEM238,129423334
FAM195B,127951714
NACA,271142268
CNKSR3,129030134
CNKSR3;IPCEF1,133243034
AGPS,130756634
KIF2A,0
DDX39A;DDX39B,0
PDLIM1,129680834
MYO1C,129447634
SNAP23,412897102
FXYD1,128298934
GTPBP1,128032874
STXBP3,0
ARVCF,526403136
SMAP,521494868
RAB27B;RAB27A,0
AP3B1,418941602
SULT2B1,0
NFKBIE,128498834
PSMD11,139793934
MEN1,136911934
CBX4,264116368
SUPT5H,129311834
DFFA,129446134
RFXAP,0
HIP1,275568168
CLIC1,0
EIF3F,0
WWP2,134095134
ARNTL,0
PIK3CD,0
PDHX,128613234
QSOX1,0
FOXN3,258610668
IPO5,0
EEF2K,130432734
EML1,128697034
DNM1L,145383934
PIK3C2A,270856768
LST1,0
GOLIM4,144697934
MEIS1,0
ELL2,0
BTN3A1,0
BIN1,130351434
CLDN5,0
KPNA3,274570068
STK25;STK26;STK24,0
BCL9,517489436
LAD1,680688570
EBAG9,150564934
SDCBP,128943834
PITPNM1,397643702
MPHOSPH10,424512802
NOP56,763514770
PEX12,0
KPNA4,129872734
NFIB,130777534
ACACB,128253034
SCD,0
PPAP2A,131753934
PPAP2B,135015534
ARID1A,392555002
BHLHE40,0
C2CD2L,137446934
FCHO1,0
TRAFD1,143555934
HSPB6,127890484
CIT,0
COPE,129540234
CDC42EP2,0
AP3D1,271116368
ENPP3,0
ABLIM1,1462266541
DVL1,0
DVL1;DVL1P1,0
CHD1,0
CHD2,549578676
STX16,0
EI24,389006602
TP53I11,266866934
KMT2D,1727203843
RGPD8;RGPD5,128305134
RGPD8;RGPD5;RGPD1;RGPD2,133217934
RGPD8;RGPD5;RGPD1;RGPD2;RANBP2;RGPD4;RGPD3,133308934
RGPD8;RGPD5;RANBP2;RGPD4;RGPD3,436381302
PDCD5,0
SLC9A3R1,745462670
NRP1,129392234
TNPO2,0
APOL1,0
UNC13B,264030468
RASGRF2,0
SCAMP3,377249868
BACH1,0
BCKDK,276729438
IRF6,261920368
GIPC1,129205934
IKBKB,0
RGS12,256040218
CASK,0
PPP1R12A,529775536
GAK,268161268
ZNF263,0
HNRNPDL,134469834
XPO1,130970134
ARHGEF10,128997434
ZNF609,646869630
ZNF646,133100634
PDZD2,256607338
SPTBN2,129530634
MAST4,390355362
SEC16A,1715920509
PLXNB2,128911634
AREL1,0
KHNYN,128649234
U2SURP,525722576
SETD1A,664105570
SYNJ2,0
SYNM,659179850
KIAA0355,0
MCF2L,395539212
DCLK1,0
ARHGEF11,1565873479
FYB,0
TBX3,0
SCAMP2,229146934
ARPC1B,0
BET1,133467934
TRIM24,134022134
PGRMC2,880990170
CTDSPL,0
SMAD9;SMAD1,0
RGL2,128620934
NKRF,129291734
ZNF185,400820702
CASC3,133084134
RER1,354961868
ATXN7,259568268
MID1,0
MID1;MID2,0
INPPL1,140336934
SLC16A4,129199734
