GeneID,Intensity.LUAD_phos_09T
RBM47,107096871
E2F8,0
UBA6,0
ESYT2,906856597
ESYT3,0
MED19,0
UHRF1BP1L,246533042
KIAA1598,217657742
LNP1,0
ARHGAP10,0
CCDC64B,333642713
MEX3A,0
C1orf226,344662413
PLEKHG3,102830271
SH3PXD2B,113282471
FRMD3,0
CXorf23,0
NBAS,255304942
TESPA1,0
KIAA1467,0
DENND3,0
SBNO1,0
KLRG2,0
RAB19;RAB43,0
SH3D21,0
XIRP2,0
POTEF;POTEI;POTEJ;ACTB;ACTG1;POTEE;POTEKP,104158771
POTEF;POTEI;ACTB;ACTA2;ACTG2;ACTG1;ACTC1;ACTA1;POTEE,0
POTEF;ACTB;ACTA2;ACTG2;ACTG1;ACTC1;ACTA1;ACTBL2;POTEE;POTEKP,102383871
CCDC151,0
CNOT1,0
ARHGEF35,0
ARHGEF35;ARHGEF5,0
BDP1,105801471
CCDC88B,111596471
FAM83G,0
PALM3,361167813
SOWAHB,103196871
ZNF316,261747942
TLCD2,0
CCDC69,0
WTIP,103702771
PCNXL2,0
CCDC85C,0
PCP4L1,0
TRIM64C,0
BTBD11,0
ZSWIM8,0
ARHGAP32,226820142
DISP2,106968171
TBKBP1,0
POM121C,0
POM121C;POM121B;POM121,0
POM121C;POM121,101616891
EFCAB7,0
NEURL1B,102544171
NCF1C;NCF1;NCF1B,0
FAM171A2,0
WASH4P;WASH1;WASH3P;WASH2P,0
WASH4P;WASH1;WASH3P;WASH2P;WASH6P,0
COL6A5,0
MYO1G,0
MYO9A,0
SMIM1,317431213
TMEM229A,0
PPP1R3G,105624571
TMEM238,104190771
FAM195B,108716571
NACA,514168942
CNKSR3,0
CNKSR3;IPCEF1,117373471
AGPS,107931471
KIF2A,0
DDX39A;DDX39B,0
PDLIM1,0
MYO1C,0
SNAP23,0
FXYD1,0
GTPBP1,108310571
STXBP3,0
ARVCF,108754671
SMAP,167868471
RAB27B;RAB27A,0
AP3B1,243319471
SULT2B1,0
NFKBIE,0
PSMD11,103397671
MEN1,110426071
CBX4,108315571
SUPT5H,108425671
DFFA,0
RFXAP,0
HIP1,0
CLIC1,0
EIF3F,0
WWP2,103820071
ARNTL,0
PIK3CD,101755931
PDHX,0
QSOX1,0
FOXN3,0
IPO5,110906471
EEF2K,107053171
EML1,0
DNM1L,0
PIK3C2A,102121171
LST1,0
GOLIM4,237476042
MEIS1,0
ELL2,0
BTN3A1,0
BIN1,225414342
CLDN5,0
KPNA3,109698971
STK25;STK26;STK24,0
BCL9,0
LAD1,0
EBAG9,368929471
SDCBP,110184171
