GeneID,Intensity.LUAD_phos_05N
RBM47,117734604
E2F8,0
UBA6,0
ESYT2,1623092156
ESYT3,0
MED19,119758404
UHRF1BP1L,128537804
KIAA1598,480502518
LNP1,0
ARHGAP10,0
CCDC64B,363694904
MEX3A,0
C1orf226,245268509
PLEKHG3,722107228
SH3PXD2B,0
FRMD3,0
CXorf23,117954704
NBAS,121822004
TESPA1,229276879
KIAA1467,351799014
DENND3,114383514
SBNO1,118009304
KLRG2,118401204
RAB19;RAB43,0
SH3D21,0
XIRP2,0
POTEF;POTEI;POTEJ;ACTB;ACTG1;POTEE;POTEKP,119439204
POTEF;POTEI;ACTB;ACTA2;ACTG2;ACTG1;ACTC1;ACTA1;POTEE,114934704
POTEF;ACTB;ACTA2;ACTG2;ACTG1;ACTC1;ACTA1;ACTBL2;POTEE;POTEKP,286262609
CCDC151,0
CNOT1,0
ARHGEF35,229453009
ARHGEF35;ARHGEF5,0
BDP1,126862804
CCDC88B,241247309
FAM83G,0
PALM3,1090247038
SOWAHB,115071304
ZNF316,282945609
TLCD2,0
CCDC69,114062514
WTIP,0
PCNXL2,0
CCDC85C,0
PCP4L1,0
TRIM64C,117456004
BTBD11,0
ZSWIM8,232048479
ARHGAP32,0
DISP2,0
TBKBP1,115513704
POM121C,235142809
POM121C;POM121B;POM121,0
POM121C;POM121,117782904
EFCAB7,0
NEURL1B,0
NCF1C;NCF1;NCF1B,0
FAM171A2,0
WASH4P;WASH1;WASH3P;WASH2P,0
WASH4P;WASH1;WASH3P;WASH2P;WASH6P,0
COL6A5,128851804
MYO1G,0
MYO9A,0
SMIM1,374525254
TMEM229A,0
PPP1R3G,0
TMEM238,116732104
FAM195B,120495404
NACA,245666409
CNKSR3,0
CNKSR3;IPCEF1,0
AGPS,118513404
KIF2A,0
DDX39A;DDX39B,114422504
PDLIM1,118618704
MYO1C,119053704
SNAP23,353980514
FXYD1,0
GTPBP1,115770304
STXBP3,0
ARVCF,601988423
SMAP,392907804
RAB27B;RAB27A,0
AP3B1,399280414
SULT2B1,0
NFKBIE,0
PSMD11,134602804
MEN1,131792804
CBX4,0
SUPT5H,116234704
DFFA,114893104
RFXAP,0
HIP1,0
CLIC1,0
EIF3F,0
WWP2,115335604
ARNTL,0
PIK3CD,0
PDHX,0
QSOX1,0
FOXN3,238031609
IPO5,0
EEF2K,114852204
EML1,0
DNM1L,131946804
PIK3C2A,250040909
LST1,239615009
GOLIM4,118836904
MEIS1,0
ELL2,0
BTN3A1,0
BIN1,239902209
CLDN5,0
KPNA3,250598009
STK25;STK26;STK24,0
BCL9,234719009
LAD1,362114114
EBAG9,399737804
SDCBP,0
PITPNM1,348696414
MPHOSPH10,496651218
NOP56,694392623
PEX12,0
KPNA4,118228304
NFIB,633901123
ACACB,0
SCD,0
PPAP2A,0
PPAP2B,123563304
ARID1A,473553338
BHLHE40,0
C2CD2L,0
FCHO1,0
TRAFD1,272417809
HSPB6,114019464
CIT,355734714
COPE,235596409
CDC42EP2,0
AP3D1,245522709
ENPP3,0
ABLIM1,1877609566
DVL1,0
DVL1;DVL1P1,0
CHD1,0
CHD2,382548414
STX16,115228704
EI24,233026909
TP53I11,483577804
KMT2D,1317756642
RGPD8;RGPD5,0
RGPD8;RGPD5;RGPD1;RGPD2,0
RGPD8;RGPD5;RGPD1;RGPD2;RANBP2;RGPD4;RGPD3,124826804
RGPD8;RGPD5;RANBP2;RGPD4;RGPD3,537863518
PDCD5,0
SLC9A3R1,442236014
NRP1,0
TNPO2,0
APOL1,269669609
UNC13B,365135214
RASGRF2,0
SCAMP3,317659609
BACH1,115367604
BCKDK,0
IRF6,119466004
GIPC1,117669004
IKBKB,0
RGS12,238047019
CASK,0
PPP1R12A,1002919138
GAK,120338304
ZNF263,0
HNRNPDL,123261804
XPO1,236519609
ARHGEF10,234089409
ZNF609,608672723
ZNF646,117245704
PDZD2,233057209
SPTBN2,0
MAST4,233699909
SEC16A,1179056742
PLXNB2,115806304
AREL1,0
KHNYN,0
U2SURP,384978014
SETD1A,638897823
SYNJ2,0
SYNM,1341287497
KIAA0355,0
MCF2L,246416809
DCLK1,599212123
ARHGEF11,1781826901
FYB,116566404
TBX3,0
SCAMP2,320227804
ARPC1B,119888904
BET1,121512204
TRIM24,123864804
PGRMC2,864143214
CTDSPL,116627404
SMAD9;SMAD1,0
RGL2,116867404
NKRF,114681004
ZNF185,393158414
CASC3,233108209
RER1,188564804
ATXN7,0
MID1,0
MID1;MID2,114081404
INPPL1,240045209
SLC16A4,0
HDAC3,127835804
SIGLEC5,0
STX7,363347814
TOX3,0
FOXP2,0
TNRC18,357986814
SLC16A3,123355804
SLC31A2,0
ABCC3,119079704
ABCC4,624577223
ABCC5,0
CD3EAP,0
MSH4,0
PER1,239760309
RNF113A,114300224
KDM6A,231143189
CLDN3,249858509
FFAR2,0
ZZEF1,126788804
ASAP2,116282104
RRP8,116809804
PJA2,235332909
SIPA1L1,607456883
ARHGAP6,0
PHF1,0
GPR39,0
SEPTIN4,156396804
DYNC1LI2,355513614
PSMD3,0
SART1,261227804
SPINT2,123932804
HSPA12A,116994504
CCP110,134837804
ADCY6,241443109
CTIF,242745809
PPIP5K2,0
MAP3K7,249979009
RIPK2,117567904
RASA4;RASA4B,121411204
WDR62,0
PRPF3,137848804
TXNL1,0
TPD52L2,639186623
SYNJ1,127557804
EIF4G3,236834009
CBFA2T2,230992309
AKR7A2,115128804
EPB41L2,745947628
TGOLN2,432762414
WIPF1,0
ATP8B1,0
FOXO3,241426309
SMAD6,113827524
SGCE,0
LAT,120616904
RGS14,120813004
RNF13,0
AKAP10,0
SYT7,0
DENR,121594604
SPRY2,116231504
DNPH1,0
CHMP2A,0
RGS10,0
BUB3,0
AKAP7,0
ACTN4,114896604
ACTN4;ACTN1,0
ACTN4;ACTN1;ACTN3;ACTN2,120778704
PRKAB2,138411804
STX6,117143004
SYNGR2,125298804
SGTA,235005309
ENSA,235640209
ENSA;ARPP19,0
STRN,115051604
RRP9,353823014
C21orf2,0
AKAP8,364480114
ZBTB14,0
NRD1,126148804
CALU,128042804
AHCYL1,0
KIF1C,232891209
TYROBP,0
