Ensembl_gene_id	p53_mock_2
ENSMUSG00000096718	274
ENSMUSG00000020086	33
ENSMUSG00000031969	203
ENSMUSG00000072082	312
ENSMUSG00000041538	27781
ENSMUSG00000030000	148
ENSMUSG00000039395	282
ENSMUSG00000030609	1539
ENSMUSG00000002799	41
ENSMUSG00000021913	3
ENSMUSG00000076670	164
ENSMUSG00000083728	173
ENSMUSG00000032484	290
ENSMUSG00000036678	977
ENSMUSG00000024900	5224
ENSMUSG00000032908	1140
ENSMUSG00000030427	428
ENSMUSG00000099241	3427
ENSMUSG00000037552	3411
ENSMUSG00000042821	11
ENSMUSG00000030084	1425
ENSMUSG00000039787	120
ENSMUSG00000022748	64
ENSMUSG00000025366	9676
ENSMUSG00000090877	202
ENSMUSG00000101111	10465
ENSMUSG00000096833	642
ENSMUSG00000038011	11
ENSMUSG00000033854	43
ENSMUSG00000091971	24
ENSMUSG00000067869	0
ENSMUSG00000026822	127
ENSMUSG00000028051	59
ENSMUSG00000034164	890
ENSMUSG00000026817	6
ENSMUSG00000029763	4860
ENSMUSG00000079359	48
ENSMUSG00000056071	994
ENSMUSG00000032360	411
ENSMUSG00000031925	2799
ENSMUSG00000025026	15297
ENSMUSG00000094708	0
ENSMUSG00000095937	0
ENSMUSG00000054385	276
ENSMUSG00000026879	2384
ENSMUSG00000029866	153
ENSMUSG00000028211	10783
ENSMUSG00000025867	500
ENSMUSG00000038871	521
ENSMUSG00000072812	75
ENSMUSG00000044350	548
ENSMUSG00000020641	594
ENSMUSG00000021703	2020
ENSMUSG00000102918	50
ENSMUSG00000036902	72
ENSMUSG00000025780	686
ENSMUSG00000038670	222
ENSMUSG00000074272	3354
ENSMUSG00000027347	7024
ENSMUSG00000033644	43
ENSMUSG00000032135	65
ENSMUSG00000066607	5
ENSMUSG00000031562	113
ENSMUSG00000000884	114
ENSMUSG00000004842	115
ENSMUSG00000052331	14698
ENSMUSG00000021614	105
ENSMUSG00000076441	512
ENSMUSG00000083165	183
ENSMUSG00000016526	59
ENSMUSG00000046169	2080
ENSMUSG00000020034	3442
ENSMUSG00000079575	0
ENSMUSG00000059647	0
ENSMUSG00000099809	0
ENSMUSG00000092340	355
ENSMUSG00000021624	12154
ENSMUSG00000057135	313
ENSMUSG00000025352	2289
ENSMUSG00000106037	2914
ENSMUSG00000074419	368
ENSMUSG00000079553	154
ENSMUSG00000032818	56
ENSMUSG00000055093	1512
ENSMUSG00000034903	2741
ENSMUSG00000030737	1205
ENSMUSG00000041936	353
ENSMUSG00000018750	5400
ENSMUSG00000052221	2
ENSMUSG00000036006	22627
ENSMUSG00000038042	387
ENSMUSG00000046006	534
ENSMUSG00000020642	3190
ENSMUSG00000031453	14930
ENSMUSG00000063543	0
ENSMUSG00000037683	102
ENSMUSG00000098934	5738
ENSMUSG00000019979	2453
ENSMUSG00000006576	140
ENSMUSG00000062554	82
ENSMUSG00000068397	319
ENSMUSG00000084383	319
ENSMUSG00000028008	2
ENSMUSG00000082604	12
ENSMUSG00000029385	2771
ENSMUSG00000032698	4060
ENSMUSG00000034620	508
ENSMUSG00000056054	510
ENSMUSG00000081999	29
ENSMUSG00000000552	478
ENSMUSG00000022686	9982
ENSMUSG00000080875	12
ENSMUSG00000082329	22
ENSMUSG00000073678	11082
ENSMUSG00000012017	16
ENSMUSG00000003873	1230
ENSMUSG00000005233	183
ENSMUSG00000086965	55
ENSMUSG00000057191	3818
ENSMUSG00000098021	117
ENSMUSG00000026167	81
ENSMUSG00000006800	205
ENSMUSG00000021048	1570
ENSMUSG00000037972	13858
ENSMUSG00000021411	3273
ENSMUSG00000066443	3134
ENSMUSG00000011008	1879
ENSMUSG00000046341	0
ENSMUSG00000082691	75
ENSMUSG00000018909	4019
ENSMUSG00000022353	5582
ENSMUSG00000059479	2468
ENSMUSG00000101059	0
ENSMUSG00000084838	132
ENSMUSG00000044309	517
ENSMUSG00000020108	1190
ENSMUSG00000023963	581
ENSMUSG00000036026	546
ENSMUSG00000003484	3175
ENSMUSG00000050243	0
ENSMUSG00000030407	379
ENSMUSG00000051590	1428
ENSMUSG00000063660	619
ENSMUSG00000108852	0
ENSMUSG00000094087	694
ENSMUSG00000041247	223
ENSMUSG00000078173	0
ENSMUSG00000044468	1706
ENSMUSG00000028078	2820
ENSMUSG00000028362	50
ENSMUSG00000021222	517
ENSMUSG00000005107	406
ENSMUSG00000068457	522
ENSMUSG00000047945	1216
ENSMUSG00000026728	6453
ENSMUSG00000083672	62
ENSMUSG00000082432	58
ENSMUSG00000020898	1135
ENSMUSG00000019872	1399
ENSMUSG00000079362	86
ENSMUSG00000033722	74
ENSMUSG00000037822	9608
ENSMUSG00000058624	352
ENSMUSG00000001986	122
ENSMUSG00000082662	0
ENSMUSG00000052563	192
ENSMUSG00000055748	6
ENSMUSG00000029093	274
ENSMUSG00000049303	42
ENSMUSG00000020638	927
ENSMUSG00000073125	370
ENSMUSG00000071669	7864
ENSMUSG00000092329	56
ENSMUSG00000021384	1418
ENSMUSG00000020089	492
ENSMUSG00000027452	4571
ENSMUSG00000074342	1809
ENSMUSG00000049233	7
ENSMUSG00000074846	2
ENSMUSG00000007908	101
ENSMUSG00000101964	1808
ENSMUSG00000026313	1904
ENSMUSG00000006589	653
ENSMUSG00000036894	788
ENSMUSG00000087635	0
ENSMUSG00000024399	11548
ENSMUSG00000083827	124
ENSMUSG00000037235	6800
ENSMUSG00000004110	14553
ENSMUSG00000020712	44
ENSMUSG00000058006	16093
ENSMUSG00000055707	533
